"Comment","Designator","Footprint","LCSC Part #","LCSC Part Type"
"PC47PQ20_16Z-22","U2","CPVPQ20161S14PZ","",""
"GRM21BR71H104KA01L","C1,C2,C3","0805_C","",""
"1000pF","C4","0805_C","",""
"100pF","C5","0805_C","",""
"EEHZA1H101P","C8,C9,C10,C11,C20,C21,C22,C23","CAPAE1030X1050N","",""
"1.014nF","C14","0805_C","",""
"08051A471JAT2A","C15","0805_C","",""
"EGPA500ELL222ML40S","C17","C_Elec_10x10.2","",""
"Screw_Terminal_01x02","J1,J2,J3","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","",""
"IRF3205","Q1","TO-220-3_Vertical","",""
"100","R1","R_0805_OEM","",""
"R_100","R2","R_0805_OEM","",""
"R_4.7K","R3","R_0805_OEM","",""
"10","R4","R_0805_OEM","",""
"10K","R5,R6","R_0805_OEM","",""
"0.05","R7","R_0805_OEM","",""
"CRCW08050000Z0EA","R8","CRCW08050000Z0EA","",""
"R_100K","R9","R_0805_OEM","",""
"CRCW251210K7FKEG","R10","CRCW251210K7FKEG","",""
"15","R11","R_0805_OEM","",""
"R_10K","R12","R_0805_OEM","",""
"UC2844NG4","U1","DIP794W45P254L959H508Q8","",""
"ECA1HM100","C6,C7,C18,C19","CAPPRD200W50D500H1100B","",""
"LTST-C190GKT","D1,D9","LEDM1608X80","",""
"SS2FL4-M3/H","D2,D3,D5,D6,D7","SODFL3718X108N","",""
"1N5357BRLG","D4,D8","DIOAD1720W120L750D440P","",""
"3362P-1-102LF","VR1","TRIM_3362P-1-102LF","",""
"Conn_01x02_Male","J4","PinHeader_1x02_P2.54mm_Vertical","",""
"120uF","C13","CAPPRD500W60D1000H1800","",""
"200uF","C12","CAPAE1350X1400N","",""
