"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"CPVPQ20161S14PZ";1;"PC47PQ20_16Z-22";;;
2;"C1,C2,C3";"C_0805_2012Metric";3;"GRM21BR71H104KA01L";;;
3;"C4";"C_0805_2012Metric";1;"1000pF";;;
4;"C5";"C_0805_2012Metric";1;"100pF";;;
5;"C8,C9,C10,C11,C20,C21,C22,C23";"CAPAE1030X1050N";8;"EEHZA1H101P";;;
6;"C14";"C_0805_2012Metric";1;"1.014nF";;;
7;"C15";"C_0805_2012Metric";1;"08051A471JAT2A";;;
8;"C17";"C_Elec_10x10.2";1;"EGPA500ELL222ML40S";;;
9;"J1,J2,J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";3;"Screw_Terminal_01x02";;;
10;"Q1";"TO-220-3_Vertical";1;"IRF3205";;;
11;"R1";"R_0805_OEM";1;"100";;;
12;"R2";"R_0805_OEM";1;"R_100";;;
13;"R3";"R_0805_OEM";1;"R_4.7K";;;
14;"R4";"R_0805_OEM";1;"10";;;
15;"R5,R6";"R_0805_OEM";2;"10K";;;
16;"R7";"R_0805_OEM";1;"0.05";;;
17;"R8";"CRCW08050000Z0EA";1;"CRCW08050000Z0EA";;;
18;"R9";"R_0805_OEM";1;"R_100K";;;
19;"R10";"CRCW251210K7FKEG";1;"CRCW251210K7FKEG";;;
20;"R11";"R_0805_OEM";1;"15";;;
21;"R12";"R_0805_OEM";1;"R_10K";;;
22;"U1";"DIP794W45P254L959H508Q8";1;"UC2844NG4";;;
23;"C6,C7,C18,C19";"CAPPRD200W50D500H1100B";4;"ECA1HM100";;;
24;"D1,D9";"LEDM1608X80";2;"LTST-C190GKT";;;
25;"D2,D3,D5,D6,D7";"SODFL3718X108N";5;"SS2FL4-M3/H";;;
26;"D4,D8";"DIOAD1720W120L750D440P";2;"1N5357BRLG";;;
27;"VR1";"TRIM_3362P-1-102LF";1;"3362P-1-102LF";;;
28;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
29;"C13";"CAPPRD500W60D1000H1800";1;"120uF";;;
30;"C12";"CAPAE1350X1400N";1;"200uF";;;
