Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM21BR71H104KA01L","C_0805_2012Metric",170.180000,-71.198500,90.000000,top
"C2","GRM21BR71H104KA01L","C_0805_2012Metric",173.736000,-71.198500,90.000000,top
"C3","GRM21BR71H104KA01L","C_0805_2012Metric",164.924500,-67.564000,0.000000,top
"C4","1000pF","C_0805_2012Metric",167.972500,-61.214000,0.000000,top
"C5","100pF","C_0805_2012Metric",144.526000,-71.628000,90.000000,top
"C8","EEHZA1H101P","CAPAE1030X1050N",204.216000,-122.682000,270.000000,top
"C9","EEHZA1H101P","CAPAE1030X1050N",204.216000,-105.203000,90.000000,top
"C10","EEHZA1H101P","CAPAE1030X1050N",189.230000,-122.475000,270.000000,top
"C11","EEHZA1H101P","CAPAE1030X1050N",189.230000,-105.109000,90.000000,top
"C12","200uF","CAPAE1350X1400N",169.418000,-104.793000,270.000000,top
"C14","1.014nF","C_0805_2012Metric",135.382000,-80.185500,90.000000,top
"C15","08051A471JAT2A","C_0805_2012Metric",140.540500,-82.550000,0.000000,top
"C17","EGPA500ELL222ML40S","C_Elec_10x10.2",110.826000,-109.982000,0.000000,top
"C20","EEHZA1H101P","CAPAE1030X1050N",95.504000,-105.363000,90.000000,top
"C21","EEHZA1H101P","CAPAE1030X1050N",95.504000,-121.967000,270.000000,top
"C22","EEHZA1H101P","CAPAE1030X1050N",79.756000,-121.713000,270.000000,top
"C23","EEHZA1H101P","CAPAE1030X1050N",79.756000,-105.363000,90.000000,top
"D1","LTST-C190GKT","LEDM1608X80",176.276000,-71.374000,90.000000,top
"D2","SS2FL4-M3/H","SODFL3718X108N",170.180000,-76.632000,90.000000,top
"D3","SS2FL4-M3/H","SODFL3718X108N",173.736000,-76.632000,270.000000,top
"D5","SS2FL4-M3/H","SODFL3718X108N",162.814000,-126.492000,0.000000,top
"D6","SS2FL4-M3/H","SODFL3718X108N",156.794000,-99.568000,0.000000,top
"D7","SS2FL4-M3/H","SODFL3718X108N",122.098000,-106.172000,180.000000,top
"D9","LTST-C190GKT","LEDM1608X80",62.484000,-112.280000,270.000000,top
"R1","100","R_0805_OEM",176.276000,-67.310000,90.000000,top
"R2","R_100","R_0805_OEM",154.686000,-60.132000,90.000000,top
"R3","R_4.7K","R_0805_OEM",164.084000,-62.230000,90.000000,top
"R4","10","R_0805_OEM",166.878000,-79.060000,270.000000,top
"R5","10K","R_0805_OEM",163.642000,-80.010000,0.000000,top
"R6","10K","R_0805_OEM",141.478000,-73.406000,270.000000,top
"R7","0.05","R_0805_OEM",162.560000,-84.770000,270.000000,top
"R8","CRCW08050000Z0EA","CRCW08050000Z0EA",166.862000,-119.126000,0.000000,top
"R9","R_100K","R_0805_OEM",166.878000,-121.666000,0.000000,top
"R10","CRCW251210K7FKEG","CRCW251210K7FKEG",158.242000,-106.230000,270.000000,top
"R11","15","R_0805_OEM",138.618000,-79.248000,180.000000,top
"R12","R_10K","R_0805_OEM",62.484000,-116.144000,270.000000,top
